OIL001	柠檬	Lemon	Citrus limon	Citrus	明亮柑橘	果皮	冷压	明亮、清爽、干净、元系列	甜橙、薰衣草、乳香、雪松	常见果皮类品种要留意光毒性，外用后尽量避免日晒。；光毒性	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。｜元系列SKU Y-S-066｜¥98/5ml｜产地意大利
OIL002	甜橙	Sweet Orange	Citrus sinensis	Citrus	甜美柑橘	果皮	冷压	甜美、明亮、亲和、元系列	柠檬、肉桂叶、乳香、薰衣草、雪松	常见果皮类品种要留意光毒性，外用后尽量避免日晒。	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。｜元系列SKU Y-S-064｜¥158/5ml｜产地意大利｜元系列SKU Y-S-065｜¥158/5ml｜产地墨西哥
OIL003	佛手柑	Bergamot	Citrus bergamia	Citrus	优雅柑橘	果皮	冷压	优雅、清新、柔和、元系列	薰衣草、雪松、甜橙、乳香	常见果皮类品种要留意光毒性，外用后尽量避免日晒。；光毒性	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。｜元系列SKU Y-S-067｜¥158/5ml｜产地意大利
OIL004	葡萄柚	Grapefruit	Citrus × paradisi	Citrus	轻快柑橘	果皮	冷压	轻快、清爽、通透、元系列	薄荷、甜橙、乳香、薰衣草、雪松	常见果皮类品种要留意光毒性，外用后尽量避免日晒。；光毒性	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。｜元系列SKU Y-S-068｜¥138/5ml｜产地南非｜元系列SKU Y-B-005｜¥108/100ml｜产地美国
OIL005	青柠	Lime	Citrus aurantiifolia	Citrus	锐亮柑橘	果皮	冷压	锐亮、清脆、提神	薄荷、薰衣草、香茅、乳香、雪松	常见果皮类品种要留意光毒性，外用后尽量避免日晒。；光毒性	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。
OIL006	柑橘	Mandarin	Citrus reticulata	Citrus	圆润柑橘	果皮	冷压	圆润、柔和、亲和、元系列	甜橙、罗马洋甘菊、乳香、薰衣草、雪松	常见果皮类品种要留意光毒性，外用后尽量避免日晒。	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。｜元系列SKU Y-B-004｜¥138/10ml｜产地中国
OIL007	柚子	Yuzu	Citrus junos	Citrus	清透柑橘	果皮	冷压	清透、明快、高级	雪松、甜橙、薰衣草、乳香	常见果皮类品种要留意光毒性，外用后尽量避免日晒。；光毒性	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。
OIL008	橙花	Neroli	Citrus aurantium	Citrus	清雅花柑	花朵	蒸汽蒸馏	清雅、柔和、明亮	佛手柑、乳香、檀香、薰衣草、雪松	常见果皮类品种要留意光毒性，外用后尽量避免日晒。	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。
OIL009	苦橙叶	Petitgrain	Citrus aurantium	Citrus	绿意柑橘	叶/嫩枝	蒸汽蒸馏	绿意、清新、平衡	薰衣草、雪松、橙花、乳香	常见果皮类品种要留意光毒性，外用后尽量避免日晒。	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。
OIL010	苦橙皮	Bitter Orange Peel	Citrus aurantium	Citrus	苦甜柑橘	果皮	冷压	苦甜、利落、有层次、元系列	薰衣草、乳香、甜橙、雪松	常见果皮类品种要留意光毒性，外用后尽量避免日晒。；光毒性	适合作为 Citrus 类入门卡；建议后续补充 GC/MS、安全证据与品牌层来源。｜元系列SKU Y-H-098｜¥148/10ml｜产地意大利｜元系列SKU Y-H-099｜¥158/10ml｜产地巴拉圭｜元系列SKU Y-S-063｜¥158/5ml｜产地巴拉圭
